feature_set,features,model,model_family,priority,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FS3,Text + type + language,xgboost,gradient_boosting,low,0.4551569519032131,0.026379056483207153,0.10919697390182104,0.00979917224834738,0.1760038214175491,0.013778702046789925
FS3,Text + type + language,xgboost,gradient_boosting,medium,0.46256895281444665,0.006058217914691192,0.6351174338143258,0.007665267157047196,0.5352425918077545,0.004499437529726525
FS4,Text + type + language + queue,complement_naive_bayes,probabilistic,high,0.553082178259986,0.007539168955765906,0.6339013692895874,0.019835884445394213,0.5906507557519564,0.011297270504098962
FS4,Text + type + language + queue,complement_naive_bayes,probabilistic,low,0.3827533863338476,0.0031300502633422374,0.3800713429946459,0.015048362828094398,0.3812940855599573,0.008034279818768177
FS4,Text + type + language + queue,complement_naive_bayes,probabilistic,medium,0.5070733042359521,0.00908065076686095,0.4367028788701792,0.013076118916959707,0.4690615491450664,0.004345368391329915
FS4,Text + type + language + queue,knn_cosine,instance_based,high,0.5787182481701039,0.014374218870338105,0.634792463424095,0.02662289636483544,0.6049909905836778,0.008548850590740764
FS4,Text + type + language + queue,knn_cosine,instance_based,low,0.5278487384296063,0.02373564189367938,0.3069867399500464,0.03609583837009954,0.38665993909993734,0.025919181983647108
FS4,Text + type + language + queue,knn_cosine,instance_based,medium,0.5347608168928606,0.0074150837667901065,0.5972000094466619,0.04238883280533703,0.5635023404366565,0.014808712527133719
FS4,Text + type + language + queue,lightgbm,gradient_boosting,high,0.6227609066173565,0.011002745560802975,0.6534922806307343,0.014492571576177659,0.6376245125587935,0.007702562191324298
FS4,Text + type + language + queue,lightgbm,gradient_boosting,low,0.5157019875540951,0.016878695252627172,0.3142167049103023,0.013367600253380615,0.3904429862308552,0.014234374918694188
FS4,Text + type + language + queue,lightgbm,gradient_boosting,medium,0.532941221591433,0.011022458937741557,0.6134939069031481,0.016957670547220298,0.570243968994544,0.00957539087565934
FS4,Text + type + language + queue,linear_svm,linear,high,0.602727499072664,0.007294085681362174,0.6260639394507176,0.015069601858549437,0.6141148031886953,0.009486287999644651
FS4,Text + type + language + queue,linear_svm,linear,low,0.4310970910714513,0.014498756702545107,0.39813023593728497,0.013793343880810098,0.4139547683115289,0.01407788028814301
FS4,Text + type + language + queue,linear_svm,linear,medium,0.5222867329505922,0.012827283432316677,0.5229821930425336,0.01206822016169247,0.5225938920096594,0.01138550017142957
